id,cue,t_start,t_end,duration_sec,spoken,visual_mode,text_graphic_type,text_graphic_text,text_graphic_style,artifact_object,artifact_story_link,artifact_preference,editorial_intent,people,situation,date_from,date_to,location,search_queries,avoid,media_type,reuse_id,priority,status
m093,93,247.31,249.11,1.8,Where is it on for those about to rock?,historical,,,,,,,Later Brian era albums — period-accurate promo or live.,Brian Johnson|vocalist; AC/DC|band,AC/DC For Those About to Rock era 1981 or Fly on the Wall 1985,1981,1985,,AC/DC For Those About to Rock 1981 | AC/DC Fly on the Wall 1985 | Brian Johnson 1980s live,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m094,94,249.67,250.43,0.76,Fly on the wall?,historical,,,,,,,Later Brian era albums — period-accurate promo or live.,Brian Johnson|vocalist; AC/DC|band,AC/DC For Those About to Rock era 1981 or Fly on the Wall 1985,1981,1985,,AC/DC For Those About to Rock 1981 | AC/DC Fly on the Wall 1985 | Brian Johnson 1980s live,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m097,97,253.65,254.87,1.22,You shook me all night long.,historical,,,,,,,Iconic song — AC/DC live energy (Bon era archive or early Brian era).,AC/DC|band,AC/DC live concert 1979 or 1981 crowd and stage,1979,1981,,AC/DC live 1979 audience | AC/DC concert 1981,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m098,98,255.13,258.39,3.26,"And then just never, ever find that frequency again.",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m101,101,262.79,266.33,3.54,Unless that frequency was never on your dial to begin with?,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m104,104,270.25,271.19,0.94,The Nine Lives thing.,historical,,,,,,,Lyric / private metaphor — Bon portrait; optional handwritten lyrics archive.,Bon Scott|vocalist,Bon Scott portrait late 1970s,1977,1979,,Bon Scott 1978 photograph | Bon Scott AC/DC portrait,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m106,106,273.23,275.11,1.88,"Bond Scott, motorcycle accident.",historical,,,,,,,Bon Scott motorcycle accident period — historical photos of Bon on bike if available.,Bon Scott|vocalist,Bon Scott motorcycle 1970s,1974,1978,,Bon Scott motorcycle | Bon Scott motorbike 1970s,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m109,109,278.73,280.55,1.82,That he used up one of his Nine Lives.,historical,,,,,,,Lyric / private metaphor — Bon portrait; optional handwritten lyrics archive.,Bon Scott|vocalist,Bon Scott portrait late 1970s,1977,1979,,Bon Scott 1978 photograph | Bon Scott AC/DC portrait,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m112,112,283.11,284.37,1.26,I've got Nine Lives.,historical,,,,,,,Lyric / private metaphor — Bon portrait; optional handwritten lyrics archive.,Bon Scott|vocalist,Bon Scott portrait late 1970s,1977,1979,,Bon Scott 1978 photograph | Bon Scott AC/DC portrait,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m113,113,284.69,285.39,0.7,Cat's Eyes.,historical,,,,,,,Lyric / private metaphor — Bon portrait; optional handwritten lyrics archive.,Bon Scott|vocalist,Bon Scott portrait late 1970s,1977,1979,,Bon Scott 1978 photograph | Bon Scott AC/DC portrait,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m117,117,292.29,294.75,2.46,Maybe Brian Johnson also had a near-death experience,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Brian Johnson|vocalist,Brian Johnson historical photograph 1978-1981,1978,1981,,Brian Johnson 1979 photograph | Brian Johnson AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,m113,low,needed
m118,118,294.75,298.95,4.2,"that he never publicly mentioned, but somehow independently landed on the exact same metaphor",historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m119,119,298.95,301.39,2.44,that Bond Scott used privately with his friends.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,Bon Scott|vocalist,Bon Scott historical photograph 1978-1981,1978,1981,,Bon Scott 1979 photograph | Bon Scott AC/DC 1980,courtroom | jury box | office chair | cork board | stock explainer,photo,m118,low,needed
m121,121,303.89,306.39,2.5,"No, there's only one explanation that makes sense.",historical,,,,,,,Thesis restatement — strong Bon Scott live still.,Bon Scott|vocalist,Bon Scott AC/DC live performance 1979,1978,1979,,Bon Scott AC/DC live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m122,122,306.89,308.51,1.62,Bond Scott wrote those words.,historical,,,,,,,Thesis restatement — strong Bon Scott live still.,Bon Scott|vocalist,Bon Scott AC/DC live performance 1979,1978,1979,,Bon Scott AC/DC live 1979,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m124,124,309.53,314.13,4.6,"I'm just saying, Bond Scott spent his entire career writing himself into his music.",historical,,,,,,,Biographical montage — Bon Scott life in Australia / early AC/DC.,Bon Scott|vocalist,Bon Scott early career Australia 1970s,1970,1979,Australia,Bon Scott 1974 photograph | Bon Scott Fraternity band 1970s | Bon Scott AC/DC early,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m125,125,314.39,315.31,0.92,His actual life.,historical,,,,,,,Biographical montage — Bon Scott life in Australia / early AC/DC.,Bon Scott|vocalist,Bon Scott early career Australia 1970s,1970,1979,Australia,Bon Scott 1974 photograph | Bon Scott Fraternity band 1970s | Bon Scott AC/DC early,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m126,126,315.65,316.59,0.94,His actual voice.,historical,,,,,,,Biographical montage — Bon Scott life in Australia / early AC/DC.,Bon Scott|vocalist,Bon Scott early career Australia 1970s,1970,1979,Australia,Bon Scott 1974 photograph | Bon Scott Fraternity band 1970s | Bon Scott AC/DC early,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m128,128,318.43,321.13,2.7,And he deserves to have his last words credited to him.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m129,129,322.01,323.81,1.8,The fingerprint is on back in Black.,historical,,,,,,,Visual compare — Bon-era vs Brian-era (two-up or sequential).,Bon Scott|vocalist; Brian Johnson|vocalist,Bon Scott and Brian Johnson AC/DC vocalists comparison photos,1979,1981,,Bon Scott 1979 live | Brian Johnson 1980 AC/DC,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m130,130,324.49,325.27,0.78,Bond's fingerprint.,historical,,,,,,,Visual compare — Bon-era vs Brian-era (two-up or sequential).,Bon Scott|vocalist; Brian Johnson|vocalist,Bon Scott and Brian Johnson AC/DC vocalists comparison photos,1979,1981,,Bon Scott 1979 live | Brian Johnson 1980 AC/DC,courtroom | jury box | office chair | cork board | stock explainer,photo,,high,needed
m131,131,325.89,331.35,5.46,And it is completely absent from everything Brian Johnson wrote before and after.,historical,,,,,,,Brian discography era — Geordie vs later AC/DC promo shots.,Brian Johnson|vocalist,Brian Johnson Geordie 1970s and AC/DC 1980s promotional photos,1975,1985,,Brian Johnson Geordie | Brian Johnson AC/DC 1983,courtroom | jury box | office chair | cork board | stock explainer,photo,,medium,needed
m132,132,332.15,334.09,1.94,A fingerprint puts someone at the scene.,historical,,,,,,,"Closing metaphor — return to definitive Bon live image, NOT forensic stock.",Bon Scott|vocalist,Bon Scott live on stage definitive photograph 1979,1979,1979,,Bon Scott AC/DC live 1979 full stage,fingerprint macro | crime scene | courtroom,photo,,high,needed
m133,133,334.79,336.61,1.82,Bond Scott was at the scene.,historical,,,,,,,"Closing metaphor — return to definitive Bon live image, NOT forensic stock.",Bon Scott|vocalist,Bon Scott live on stage definitive photograph 1979,1979,1979,,Bon Scott AC/DC live 1979 full stage,fingerprint macro | crime scene | courtroom,photo,,high,needed
m137,137,343.35,345.23,1.88,"Yes, I know Brian Johnson is incredible.",historical,,,,,,,Acknowledgment — Brian interview or live still.,Brian Johnson|vocalist,Brian Johnson interview or live 1980s,1980,1990,,Brian Johnson interview 1980s | Brian Johnson AC/DC live,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m138,138,345.49,346.93,1.44,"Yes, I've heard the interviews.",historical,,,,,,,Acknowledgment — Brian interview or live still.,Brian Johnson|vocalist,Brian Johnson interview or live 1980s,1980,1990,,Brian Johnson interview 1980s | Brian Johnson AC/DC live,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
m139,139,347.19,351.29,4.1,Doesn't explain the fingerprint or lack thereof in subsequent records.,historical,,,,,,,Bridge beat — stay on period rock documentary tone; reuse era montage if short.,AC/DC|band,AC/DC historical photograph 1978-1981,1978,1981,,AC/DC 1979 live concert photograph | AC/DC 1980 press photo band,courtroom | jury box | office chair | cork board | stock explainer,photo,,low,needed
